pas,tokens,pairs,per_expert,clock,clock_med,held,ms_per_layer,power_w,idle_w,p_dyn_w,uj_per_token,uj_dyn_per_token,tflops,replays
0,2048,16384,128.0,1005,1005,True,1.756904,251.1,64.5,186.6,215.4094,160.0773,88.01,170
0,4096,32768,256.0,1005,1005,True,2.812658,248.45,64.5,183.95,170.6067,126.3155,109.94,106
0,64,512,8.39,1290,1290,True,0.493849,280.98,75.09,205.89,2168.153,1588.7288,9.78,599
0,128,1024,11.13,1290,1290,True,0.729779,289.21,75.09,214.12,1648.9018,1220.7837,13.24,409
0,256,2048,17.5,1290,1290,True,0.934571,296.53,75.09,221.44,1082.5321,808.4035,20.68,319
0,512,4096,33.57,1290,1290,True,1.024166,304.02,75.09,228.93,608.1387,457.9343,37.74,292
0,1024,8192,64.0,1290,1290,True,1.172277,326.46,75.09,251.37,373.7319,287.7688,65.95,255
0,2048,16384,128.0,1290,1290,True,1.499893,362.93,75.09,287.84,265.7989,210.8053,103.09,199
0,4096,32768,256.0,1290,1290,True,2.274628,384.4,75.09,309.31,213.4685,171.7688,135.95,131
0,64,512,8.39,600,600,True,0.823449,160.72,62.16,98.56,2067.8874,1268.1121,5.87,360
0,128,1024,11.13,600,600,True,1.219788,164.41,62.16,102.25,1566.7599,974.4006,7.92,244
0,256,2048,17.5,600,600,True,1.554775,167.63,62.16,105.47,1018.0742,640.5553,12.43,192
0,512,4096,33.57,600,600,True,1.630404,175.41,62.16,113.25,558.5725,360.6313,23.71,183
0,1024,8192,64.0,600,600,True,1.937837,179.82,62.16,117.66,340.2948,222.662,39.89,154
0,2048,16384,128.0,600,600,True,2.838705,177.75,62.16,115.59,246.3769,160.2177,54.47,105
0,4096,32768,256.0,600,600,True,4.60775,173.65,62.16,111.49,195.3456,125.4194,67.11,65
0,64,512,8.39,870,870,True,0.578707,204.71,63.64,141.07,1851.05,1275.5978,8.35,512
0,128,1024,11.13,870,870,True,0.857254,209.73,63.64,146.09,1404.6236,978.4078,11.27,348
0,256,2048,17.5,870,870,True,1.095549,213.96,63.64,150.32,915.6396,643.2929,17.64,272
0,512,4096,33.57,870,870,True,1.169245,219.72,63.64,156.08,501.7705,356.437,33.06,255
0,1024,8192,64.0,870,870,True,1.382856,227.63,63.64,163.99,307.4019,221.4596,55.91,216
0,2048,16384,128.0,870,870,True,1.991066,228.23,63.64,164.59,221.8853,160.0144,77.66,150
0,4096,32768,256.0,870,870,True,3.225236,223.21,63.64,159.57,175.758,125.6472,95.88,92
0,64,512,8.39,780,780,True,0.638734,190.96,62.83,128.13,1905.823,1278.7657,7.56,465
0,128,1024,11.13,780,780,True,0.945747,195.32,62.83,132.49,1443.1504,978.9217,10.22,315
0,256,2048,17.5,780,780,True,1.205886,199.75,62.83,136.92,940.9206,644.9604,16.03,247
0,512,4096,33.57,780,780,True,1.271275,209.13,62.83,146.3,519.2614,363.257,30.41,234
0,1024,8192,64.0,780,780,True,1.508809,214.09,62.83,151.26,315.45,222.8734,51.24,197
0,2048,16384,128.0,780,780,True,2.204075,211.61,62.83,148.78,227.7365,160.1183,70.15,135
0,4096,32768,256.0,780,780,True,3.576051,207.06,62.83,144.23,180.7757,125.9213,86.47,83
0,64,512,8.39,690,690,True,0.719664,176.27,62.16,114.11,1982.111,1283.1377,6.71,413
0,128,1024,11.13,690,690,True,1.065768,180.09,62.16,117.93,1499.4857,981.9221,9.07,280
0,256,2048,17.5,690,690,True,1.358006,183.75,62.16,121.59,974.7406,644.9998,14.23,220
0,512,4096,33.57,690,690,True,1.426092,192.43,62.16,130.27,535.982,362.8456,27.11,209
0,1024,8192,64.0,690,690,True,1.696082,197.53,62.16,135.37,327.1749,224.2174,45.58,176
0,2048,16384,128.0,690,690,True,2.486718,195.79,62.16,133.63,237.7317,162.2559,62.18,120
0,4096,32768,256.0,690,690,True,4.038341,190.96,62.16,128.8,188.2719,126.9869,76.58,74
0,64,512,8.39,1230,1230,True,0.499251,262.24,71.9,190.34,2045.6802,1484.8031,9.68,592
0,128,1024,11.13,1230,1230,True,0.736646,269.59,71.9,197.69,1551.5021,1137.7145,13.12,404
0,256,2048,17.5,1230,1230,True,0.943852,276.62,71.9,204.72,1019.8765,754.7868,20.48,316
0,512,4096,33.57,1230,1230,True,1.03264,283.33,71.9,211.43,571.4414,426.428,37.43,289
0,1024,8192,64.0,1230,1230,True,1.185375,303.0,71.9,231.1,350.7505,267.5196,65.22,252
0,2048,16384,128.0,1230,1230,True,1.538855,335.53,71.9,263.63,252.1152,198.09,100.48,194
0,4096,32768,256.0,1230,1230,True,2.361248,348.43,71.9,276.53,200.8617,159.4131,130.96,126
0,64,512,8.39,915,915,True,0.558372,208.26,63.97,144.29,1816.9768,1258.8667,8.65,531
0,128,1024,11.13,915,915,True,0.828093,212.08,63.97,148.11,1372.046,958.1937,11.67,360
0,256,2048,17.5,915,915,True,1.058854,217.51,63.97,153.54,899.6539,635.0644,18.25,281
0,512,4096,33.57,915,915,True,1.134506,225.28,63.97,161.31,499.1825,357.4358,34.07,262
0,1024,8192,64.0,915,915,True,1.335215,234.43,63.97,170.46,305.6781,222.2663,57.9,223
0,2048,16384,128.0,915,915,True,1.902037,236.77,63.97,172.8,219.8952,160.4844,81.29,157
0,4096,32768,256.0,915,915,True,3.072853,232.32,63.97,168.35,174.2884,126.2976,100.64,97
0,64,512,8.39,1185,1185,True,0.504067,249.62,69.55,180.07,1966.0186,1418.2396,9.59,587
0,128,1024,11.13,1185,1185,True,0.74306,256.53,69.55,186.98,1489.1965,1085.448,13.01,401
0,256,2048,17.5,1185,1185,True,0.951888,262.51,69.55,192.96,976.0939,717.4854,20.3,313
0,512,4096,33.57,1185,1185,True,1.040073,269.27,69.55,199.72,546.993,405.7097,37.17,287
0,1024,8192,64.0,1185,1185,True,1.197384,286.27,69.55,216.72,334.7413,253.4151,64.57,249
0,2048,16384,128.0,1185,1185,True,1.575718,308.57,69.55,239.02,237.4118,183.9005,98.13,190
0,4096,32768,256.0,1185,1185,True,2.436853,317.35,69.55,247.8,188.8026,147.4249,126.9,122
0,64,512,8.39,510,510,True,0.963931,147.45,61.95,85.5,2220.8074,1287.752,5.01,309
0,128,1024,11.13,510,510,True,1.429889,150.02,61.95,88.07,1675.8748,983.8308,6.76,209
0,256,2048,17.5,510,510,True,1.823252,152.81,61.95,90.86,1088.3245,647.1119,10.6,164
0,512,4096,33.57,510,510,True,1.908133,159.57,61.95,97.62,594.689,363.8124,20.26,156
0,1024,8192,64.0,510,510,True,2.261815,163.53,61.95,101.58,361.2056,224.3703,34.18,132
0,2048,16384,128.0,510,510,True,3.305835,161.6,61.95,99.65,260.851,160.8527,46.77,90
0,4096,32768,256.0,510,510,True,5.358453,158.37,61.95,96.42,207.1822,126.1382,57.71,55
0,64,512,8.39,1050,1050,True,0.523002,220.86,64.78,156.08,1804.8481,1275.4718,9.24,567
0,128,1024,11.13,1050,1050,True,0.769277,227.47,64.78,162.69,1367.0898,977.7634,12.56,387
0,256,2048,17.5,1050,1050,True,0.984916,229.81,64.78,165.03,884.1547,634.9247,19.62,303
0,512,4096,33.57,1050,1050,True,1.0718,235.69,64.78,170.91,493.3841,357.7762,36.07,278
0,1024,8192,64.0,1050,1050,True,1.249261,247.55,64.78,182.77,302.0064,222.976,61.88,239
0,2048,16384,128.0,1050,1050,True,1.702963,257.98,64.78,193.2,214.5168,160.6506,90.79,175
0,4096,32768,256.0,1050,1050,True,2.707323,256.39,64.78,191.61,169.4655,126.648,114.22,110
1,64,512,8.39,1230,1230,True,0.49925,262.83,72.82,190.01,2050.2773,1482.225,9.68,590
1,128,1024,11.13,1230,1230,True,0.736629,271.06,72.82,198.24,1559.928,1140.8549,13.12,404
1,256,2048,17.5,1230,1230,True,0.943846,277.23,72.82,204.41,1022.119,753.639,20.48,316
1,512,4096,33.57,1230,1230,True,1.032558,284.26,72.82,211.44,573.2714,426.4142,37.44,289
1,1024,8192,64.0,1230,1230,True,1.185279,303.56,72.82,230.74,351.3705,267.0814,65.22,252
1,2048,16384,128.0,1230,1230,True,1.539928,332.56,72.82,259.74,250.0579,195.3032,100.41,194
1,4096,32768,256.0,1230,1230,True,2.361979,346.68,72.82,273.86,199.9148,157.9228,130.92,126
1,64,512,8.39,1290,1290,True,0.493808,282.45,76.51,205.94,2179.3149,1588.9825,9.78,600
1,128,1024,11.13,1290,1290,True,0.729799,290.69,76.51,214.18,1657.3852,1221.1592,13.24,408
1,256,2048,17.5,1290,1290,True,0.934644,297.12,76.51,220.61,1084.771,805.4366,20.68,319
1,512,4096,33.57,1290,1290,True,1.024121,305.76,76.51,229.25,611.5921,458.554,37.74,291
1,1024,8192,64.0,1290,1290,True,1.172239,327.87,76.51,251.36,375.334,287.7481,65.95,254
1,2048,16384,128.0,1290,1290,True,1.500051,364.24,76.51,287.73,266.7865,210.7469,103.08,199
1,4096,32768,256.0,1290,1290,True,2.274664,387.82,76.51,311.31,215.3711,172.8822,135.95,131
1,64,512,8.39,600,600,True,0.823428,161.46,62.83,98.63,2077.3551,1268.9801,5.87,361
1,128,1024,11.13,600,600,True,1.219774,165.41,62.83,102.58,1576.2722,977.5346,7.92,244
1,256,2048,17.5,600,600,True,1.554774,168.37,62.83,105.54,1022.5679,640.9801,12.43,192
1,512,4096,33.57,600,600,True,1.630398,175.97,62.83,113.14,560.3537,360.2797,23.71,183
1,1024,8192,64.0,600,600,True,1.937812,180.37,62.83,117.54,341.3313,222.4321,39.9,154
1,2048,16384,128.0,600,600,True,2.838752,178.19,62.83,115.36,246.9908,159.9016,54.47,105
1,4096,32768,256.0,600,600,True,4.607642,174.2,62.83,111.37,195.9598,125.2815,67.11,64
1,64,512,8.39,1140,1140,True,0.509532,239.12,67.8,171.32,1903.7395,1363.9539,9.48,582
1,128,1024,11.13,1140,1140,True,0.750385,246.08,67.8,178.28,1442.6148,1045.1453,12.88,397
1,256,2048,17.5,1140,1140,True,0.960176,251.7,67.8,183.9,944.0481,689.7515,20.13,310
1,512,4096,33.57,1140,1140,True,1.048732,258.13,67.8,190.33,528.729,389.8539,36.86,284
1,1024,8192,64.0,1140,1140,True,1.210636,273.08,67.8,205.28,322.8522,242.6948,63.86,246
1,2048,16384,128.0,1140,1140,True,1.615089,289.21,67.8,221.41,228.0762,174.6079,95.73,185
1,4096,32768,256.0,1140,1140,True,2.518109,294.5,67.8,226.7,181.0506,139.369,122.81,118
1,64,512,8.39,1275,1275,True,0.495149,275.42,74.84,200.58,2130.8437,1551.8286,9.76,599
1,128,1024,11.13,1275,1275,True,0.73142,283.2,74.84,208.36,1618.2665,1190.6144,13.21,407
1,256,2048,17.5,1275,1275,True,0.937037,289.82,74.84,214.98,1060.8285,786.8916,20.63,318
1,512,4096,33.57,1275,1275,True,1.026318,297.39,74.84,222.55,596.1266,446.1078,37.66,291
1,1024,8192,64.0,1275,1275,True,1.175533,319.09,74.84,244.25,366.3094,280.3944,65.77,254
1,2048,16384,128.0,1275,1275,True,1.509227,352.95,74.84,278.11,260.0985,204.9469,102.45,198
1,4096,32768,256.0,1275,1275,True,2.295801,374.05,74.84,299.21,209.6544,167.7067,134.7,130
1,64,512,8.39,960,960,True,0.54234,213.82,65.18,148.64,1811.9235,1259.5843,8.91,547
1,128,1024,11.13,960,960,True,0.803198,218.89,65.18,153.71,1373.5306,964.5273,12.03,370
1,256,2048,17.5,960,960,True,1.027566,223.54,65.18,158.36,897.2742,635.6462,18.81,290
1,512,4096,33.57,960,960,True,1.104639,231.45,65.18,166.27,499.3529,358.7272,34.99,270
1,1024,8192,64.0,960,960,True,1.297078,241.11,65.18,175.93,305.4087,222.8466,59.6,230
1,2048,16384,128.0,960,960,True,1.823151,245.8,65.18,180.62,218.8138,160.7898,84.81,164
1,4096,32768,256.0,960,960,True,2.934217,241.74,65.18,176.56,173.1732,126.4808,105.39,102
1,64,512,8.39,780,780,True,0.638717,190.08,63.42,126.66,1896.9886,1264.0603,7.56,465
1,128,1024,11.13,780,780,True,0.945809,194.45,63.42,131.03,1436.8171,968.1982,10.22,315
1,256,2048,17.5,780,780,True,1.206053,198.26,63.42,134.84,934.0312,635.2505,16.03,248
1,512,4096,33.57,780,780,True,1.27124,207.65,63.42,144.23,515.5724,358.1074,30.41,234
1,1024,8192,64.0,780,780,True,1.508845,214.09,63.42,150.67,315.4577,222.0095,51.24,198
1,2048,16384,128.0,780,780,True,2.203969,212.68,63.42,149.26,228.877,160.6271,70.15,135
1,4096,32768,256.0,780,780,True,3.576121,207.99,63.42,144.57,181.5911,126.2206,86.47,83
1,64,512,8.39,1095,1095,True,0.515912,229.37,66.65,162.72,1848.9819,1311.7074,9.37,574
1,128,1024,11.13,1095,1095,True,0.758571,235.54,66.65,168.89,1395.8897,1000.8993,12.74,392
1,256,2048,17.5,1095,1095,True,0.970632,241.11,66.65,174.46,914.1759,661.4704,19.91,307
1,512,4096,33.57,1095,1095,True,1.059294,247.01,66.65,180.36,511.0474,373.1529,36.49,281
1,1024,8192,64.0,1095,1095,True,1.227188,260.52,66.65,193.87,312.214,232.3389,63.0,243
1,2048,16384,128.0,1095,1095,True,1.655866,275.44,66.65,208.79,222.701,168.8126,93.38,180
1,4096,32768,256.0,1095,1095,True,2.606994,275.42,66.65,208.77,175.2974,132.8765,118.62,114
1,64,512,8.39,690,690,True,0.719675,176.88,62.83,114.05,1989.0018,1282.4834,6.71,412
1,128,1024,11.13,690,690,True,1.065752,180.7,62.83,117.87,1504.542,981.4076,9.07,280
1,256,2048,17.5,690,690,True,1.358095,184.79,62.83,121.96,980.3215,647.0047,14.23,219
1,512,4096,33.57,690,690,True,1.426092,193.3,62.83,130.47,538.4055,363.4028,27.11,209
1,1024,8192,64.0,690,690,True,1.696083,198.6,62.83,135.77,328.9474,224.8801,45.58,176
1,2048,16384,128.0,690,690,True,2.486675,197.99,62.83,135.16,240.3989,164.1109,62.18,120
1,4096,32768,256.0,690,690,True,4.033276,190.49,62.83,127.66,187.573,125.7051,76.67,74
1,64,512,8.39,870,870,True,0.578709,205.03,63.7,141.33,1853.9501,1277.9533,8.35,507
1,128,1024,11.13,870,870,True,0.857203,209.57,63.7,145.87,1403.4689,976.8765,11.27,347
1,256,2048,17.5,870,870,True,1.095568,214.7,63.7,151.0,918.8217,646.2137,17.64,272
1,512,4096,33.57,870,870,True,1.167645,223.08,63.7,159.38,508.7467,363.4752,33.1,256
1,1024,8192,64.0,870,870,True,1.382484,227.9,63.7,164.2,307.6838,221.6835,55.92,216
1,2048,16384,128.0,870,870,True,1.991122,228.51,63.7,164.81,222.1637,160.2328,77.65,150
1,4096,32768,256.0,870,870,True,3.225363,224.08,63.7,160.38,176.4501,126.29,95.88,92
1,64,512,8.39,510,510,True,0.963934,148.12,61.62,86.5,2230.9039,1302.8166,5.01,309
1,128,1024,11.13,510,510,True,1.429991,151.06,61.62,89.44,1687.6125,999.206,6.76,209
1,256,2048,17.5,510,510,True,1.823272,153.85,61.62,92.23,1095.7435,656.8763,10.6,164
1,512,4096,33.57,510,510,True,1.908029,160.45,61.62,98.83,597.9361,368.3018,20.26,156
1,1024,8192,64.0,510,510,True,2.261985,164.81,61.62,103.19,364.0604,227.9436,34.18,132
1,2048,16384,128.0,510,510,True,3.305792,163.23,61.62,101.61,263.4787,164.0144,46.77,90
1,4096,32768,256.0,510,510,True,5.358513,159.85,61.62,98.23,209.1207,128.5075,57.71,55
1,64,512,8.39,1050,1050,True,0.522979,220.59,64.57,156.02,1802.5625,1274.9254,9.24,565
1,128,1024,11.13,1050,1050,True,0.769207,227.03,64.57,162.46,1364.3203,976.2916,12.56,387
1,256,2048,17.5,1050,1050,True,0.984708,231.99,64.57,167.42,892.3532,643.9837,19.63,303
1,512,4096,33.57,1050,1050,True,1.071633,238.16,64.57,173.59,498.4769,363.3297,36.07,278
1,1024,8192,64.0,1050,1050,True,1.249161,247.28,64.57,182.71,301.6529,222.885,61.89,239
1,2048,16384,128.0,1050,1050,True,1.702709,257.81,64.57,193.24,214.3434,160.6599,90.81,175
1,4096,32768,256.0,1050,1050,True,2.707368,256.06,64.57,191.49,169.2501,126.5708,114.22,110
1,64,512,8.39,1185,1185,True,0.504113,249.35,69.55,179.8,1964.0705,1416.2417,9.58,587
1,128,1024,11.13,1185,1185,True,0.743075,256.39,69.55,186.84,1488.4132,1084.6567,13.0,400
1,256,2048,17.5,1185,1185,True,0.951848,261.96,69.55,192.41,974.0085,715.4107,20.31,313
1,512,4096,33.57,1185,1185,True,1.040091,269.0,69.55,199.45,546.4541,405.1683,37.16,287
1,1024,8192,64.0,1185,1185,True,1.19733,286.0,69.55,216.45,334.4106,253.088,64.57,249
1,2048,16384,128.0,1185,1185,True,1.576031,309.12,69.55,239.57,237.8822,184.3603,98.11,189
1,4096,32768,256.0,1185,1185,True,2.436874,313.8,69.55,244.25,186.6921,145.3141,126.9,122
1,64,512,8.39,1005,1005,True,0.531468,216.44,64.85,151.59,1797.358,1258.8316,9.09,558
1,128,1024,11.13,1005,1005,True,0.784115,222.06,64.85,157.21,1360.3175,963.0529,12.32,379
1,256,2048,17.5,1005,1005,True,1.003565,227.03,64.85,162.18,889.9972,635.7739,19.26,297
1,512,4096,33.57,1005,1005,True,1.085546,233.47,64.85,168.62,495.0049,357.5095,35.61,275
1,1024,8192,64.0,1005,1005,True,1.27144,244.07,64.85,179.22,303.0472,222.5268,60.8,235
1,2048,16384,128.0,1005,1005,True,1.758051,251.97,64.85,187.12,216.2969,160.6281,87.95,170
1,4096,32768,256.0,1005,1005,True,2.814554,248.89,64.85,184.04,171.024,126.4625,109.87,106
1,64,512,8.39,915,915,True,0.558376,208.26,63.97,144.29,1816.99,1258.8758,8.65,530
1,128,1024,11.13,915,915,True,0.82804,211.47,63.97,147.5,1368.0132,954.1871,11.67,359
1,256,2048,17.5,915,915,True,1.058917,217.65,63.97,153.68,900.2865,635.6813,18.25,281
1,512,4096,33.57,915,915,True,1.134537,225.55,63.97,161.58,499.7947,358.044,34.07,263
1,1024,8192,64.0,915,915,True,1.335334,234.67,63.97,170.7,306.0185,222.5992,57.9,223
1,2048,16384,128.0,915,915,True,1.902066,237.02,63.97,173.05,220.1307,160.719,81.29,156
1,4096,32768,256.0,915,915,True,3.072783,232.32,63.97,168.35,174.2844,126.2947,100.64,97
2,64,512,8.39,1140,1140,True,0.509566,239.37,67.8,171.57,1905.857,1366.0354,9.48,582
2,128,1024,11.13,1140,1140,True,0.750367,246.08,67.8,178.28,1442.5798,1045.12,12.88,397
2,256,2048,17.5,1140,1140,True,0.960172,251.57,67.8,183.77,943.5569,689.2612,20.13,310
2,512,4096,33.57,1140,1140,True,1.048839,257.87,67.8,190.07,528.2504,389.3612,36.85,284
2,1024,8192,64.0,1140,1140,True,1.210804,273.68,67.8,205.88,323.6062,243.4378,63.85,246
2,2048,16384,128.0,1140,1140,True,1.615285,290.09,67.8,222.29,228.7979,175.3231,95.72,185
2,4096,32768,256.0,1140,1140,True,2.518123,296.25,67.8,228.45,182.1275,140.4456,122.8,118
2,64,512,8.39,1050,1050,True,0.523198,219.39,65.18,154.21,1793.5075,1260.6627,9.24,567
2,128,1024,11.13,1050,1050,True,0.769554,226.02,65.18,160.84,1358.8649,966.9933,12.56,387
2,256,2048,17.5,1050,1050,True,0.984972,230.59,65.18,165.41,887.2061,636.4229,19.62,302
2,512,4096,33.57,1050,1050,True,1.071862,236.41,65.18,171.23,494.9197,358.4666,36.06,278
2,1024,8192,64.0,1050,1050,True,1.249427,247.3,65.18,182.12,301.7415,222.2125,61.88,239
2,2048,16384,128.0,1050,1050,True,1.702987,258.61,65.18,193.43,215.0437,160.8441,90.79,175
2,4096,32768,256.0,1050,1050,True,2.707262,256.81,65.18,191.63,169.7393,126.6584,114.23,110
2,64,512,8.39,510,510,True,0.963916,147.24,61.62,85.62,2217.609,1289.5387,5.01,309
2,128,1024,11.13,510,510,True,1.429933,149.86,61.62,88.24,1674.1382,985.7597,6.76,209
2,256,2048,17.5,510,510,True,1.823215,152.81,61.62,91.19,1088.3028,649.4492,10.6,164
2,512,4096,33.57,510,510,True,1.908131,159.25,61.62,97.63,593.4957,363.8492,20.26,156
2,1024,8192,64.0,510,510,True,2.261757,163.67,61.62,102.05,361.5056,225.4026,34.18,132
2,2048,16384,128.0,510,510,True,3.305886,161.92,61.62,100.3,261.3716,161.9045,46.77,90
2,4096,32768,256.0,510,510,True,5.358523,158.1,61.62,96.48,206.8316,126.2183,57.71,55
2,64,512,8.39,870,870,True,0.578685,202.36,63.42,138.94,1829.7301,1256.2893,8.35,507
2,128,1024,11.13,870,870,True,0.857224,207.06,63.42,143.64,1386.693,961.9656,11.27,348
2,256,2048,17.5,870,870,True,1.09558,212.08,63.42,148.66,907.62,636.207,17.64,272
2,512,4096,33.57,870,870,True,1.167604,220.26,63.42,156.84,502.2977,357.6699,33.11,255
2,1024,8192,64.0,870,870,True,1.379211,228.27,63.42,164.85,307.4537,222.0342,56.05,216
2,2048,16384,128.0,870,870,True,1.985236,229.1,63.42,165.68,222.0788,160.6025,77.88,150
2,4096,32768,256.0,870,870,True,3.214383,224.18,63.42,160.76,175.9278,126.1583,96.2,93
2,64,512,8.39,1230,1230,True,0.499283,263.1,72.22,190.88,2052.5228,1489.1127,9.68,593
2,128,1024,11.13,1230,1230,True,0.736672,270.74,72.22,198.52,1558.1757,1142.5317,13.12,404
2,256,2048,17.5,1230,1230,True,0.943897,276.89,72.22,204.67,1020.9208,754.6385,20.48,315
2,512,4096,33.57,1230,1230,True,1.032446,283.93,72.22,211.71,572.5437,426.9123,37.44,289
2,1024,8192,64.0,1230,1230,True,1.185381,303.56,72.22,231.34,351.4006,267.7988,65.22,251
2,2048,16384,128.0,1230,1230,True,1.539869,332.29,72.22,260.07,249.8453,195.5439,100.41,194
2,4096,32768,256.0,1230,1230,True,2.361238,349.3,72.22,277.08,201.3624,159.7294,130.96,126
2,64,512,8.39,1290,1290,True,0.493788,282.45,76.51,205.94,2179.2267,1588.9182,9.79,600
2,128,1024,11.13,1290,1290,True,0.729741,290.83,76.51,214.32,1658.0503,1221.8593,13.24,408
2,256,2048,17.5,1290,1290,True,0.934493,297.39,76.51,220.88,1085.5816,806.2923,20.68,319
2,512,4096,33.57,1290,1290,True,1.024215,305.76,76.51,229.25,611.6482,458.5961,37.74,291
2,1024,8192,64.0,1290,1290,True,1.17214,327.6,76.51,251.09,374.9933,287.4148,65.96,254
2,2048,16384,128.0,1290,1290,True,1.499861,364.54,76.51,288.03,266.9724,210.94,103.09,199
2,4096,32768,256.0,1290,1290,True,2.274754,387.01,76.51,310.5,214.9298,172.4392,135.94,131
2,64,512,8.39,1185,1185,True,0.504096,251.09,71.54,179.55,1977.712,1414.2267,9.59,589
2,128,1024,11.13,1185,1185,True,0.743033,257.87,71.54,186.33,1496.9209,1081.6352,13.01,400
2,256,2048,17.5,1185,1185,True,0.951975,263.7,71.54,192.16,980.6081,714.5759,20.3,313
2,512,4096,33.57,1185,1185,True,1.040025,270.74,71.54,199.2,549.954,404.6348,37.17,287
2,1024,8192,64.0,1185,1185,True,1.197347,287.47,71.54,215.93,336.1342,252.4836,64.57,249
2,2048,16384,128.0,1185,1185,True,1.575678,309.71,71.54,238.17,238.2828,183.2418,98.13,189
2,4096,32768,256.0,1185,1185,True,2.436862,318.82,71.54,247.28,189.6778,147.116,126.9,122
2,64,512,8.39,690,690,True,0.719058,176.27,63.1,113.17,1980.4427,1271.4966,6.72,413
2,128,1024,11.13,690,690,True,1.064832,180.09,63.1,116.99,1498.1685,973.2397,9.08,279
2,256,2048,17.5,690,690,True,1.356949,183.92,63.1,120.82,974.8833,640.4165,14.24,220
2,512,4096,33.57,690,690,True,1.424906,192.1,63.1,129.0,534.6182,359.0096,27.13,209
2,1024,8192,64.0,690,690,True,1.694277,197.83,63.1,134.73,327.3231,222.9199,45.63,176
2,2048,16384,128.0,690,690,True,2.483058,194.75,63.1,131.65,236.1209,159.6165,62.27,120
2,4096,32768,256.0,690,690,True,4.031408,190.35,63.1,127.25,187.3483,125.2433,76.71,74
2,64,512,8.39,1005,1005,True,0.531316,216.44,64.57,151.87,1796.844,1260.7961,9.09,557
